KC_LCTRL					MCP_GPA7 + Pico_GP16
KC_LSHIFT					Pico_GP16 + MCP_GPB0
KC_RSHIFT					Pico_GP17 + MCP_GPA2
KC_LALT						Pico_GP13 + Pico_GP16
KC_RALT						Pico_GP18 + Pico_GP10
KC_LGUI						MCP_GPB5 + Pico_GP9
KC_RGUI						MCP_GPB1 + Pico_GP9
FN							Pico_GP18 + MCP_GPA3
KC_A						Pico_GP5 + Pico_GP21
KC_B						MCP_GPA3 + MCP_GPB5
KC_C						Pico_GP8 + MCP_GPB5
KC_D						Pico_GP5 + Pico_GP8
KC_E						Pico_GP4 + Pico_GP8
KC_F						Pico_GP5 + MCP_GPA3
KC_G						Pico_GP5 + MCP_GPA3
KC_H						MCP_GPB4 + Pico_GP5
KC_I						MCP_GPB2 + Pico_GP4
KC_J						Pico_GP5 + Pico_GP11
KC_K						Pico_GP5 + MCP_GPB2
KC_L						Pico_GP5 + Pico_GP12
KC_M						MCP_GPB5 + Pico_GP11
KC_N						MCP_GPB4 + MCP_GPB5
KC_O						Pico_GP4 + Pico_GP12
KC_P						MCP_GPA5 + MCP_GPB3
KC_Q						Pico_GP4 + Pico_GP21
KC_R						Pico_GP4 + Pico_GP20
KC_S						Pico_GP5 + MCP_GPA1
KC_T						Pico_GP4 + MCP_GPA3
KC_U						Pico_GP4 + Pico_GP11
KC_V						Pico_GP20 + MCP_GPB5
KC_W						MCP_GPA1 + Pico_GP4
KC_X						MCP_GPA1 + MCP_GPB5
KC_Y						Pico_GP4 + MCP_GPB4
KC_Z						MCP_GPB5 + Pico_GP21
KC_GRAVE					MCP_GPA1 + MCP_GPB1
KC_1						Pico_GP21 + MCP_GPA0
KC_2						MCP_GPA0 + MCP_GPA1
KC_3						MCP_GPA0 + Pico_GP8
KC_4						Pico_GP20 + MCP_GPA0
KC_5						MCP_GPA0 + MCP_GPA3
KC_6						MCP_GPA0 + MCP_GPB4
KC_7						Pico_GP11 + MCP_GPA0
KC_8						MCP_GPA0 + MCP_GPB2
KC_9						Pico_GP12 + MCP_GPA0
KC_0						Pico_GP9 + MCP_GPA5
KC_MINUS					MCP_GPA3 + MCP_GPA5
KC_EQUAL					MCP_GPB1 + MCP_GPB4
KC_BSPACE					Pico_GP21 + Pico_GP18
KC_ESC						MCP_GPA1 + MCP_GPA5
KC_F1						Pico_GP17 + Pico_GP21
KC_F2						Pico_GP17 + MCP_GPA1
KC_F3						Pico_GP8 + Pico_GP17
KC_F4						Pico_GP20 + Pico_GP17
KC_F5						Pico_GP17 + MCP_GPA3
KC_F6						MCP_GPB4 + Pico_GP17
KC_F7						Pico_GP11 + Pico_GP17
KC_F8						Pico_GP17 + MCP_GPB2
KC_F9						Pico_GP12 + Pico_GP17
KC_F10						MCP_GPA5 + Pico_GP10
KC_F11						Pico_GP21 + MCP_GPA5
KC_F12						Pico_GP21 + MCP_GPB1
KC_RIGHT					MCP_GPB1 + MCP_GPB2
KC_LEFT						MCP_GPB2 + Pico_GP18
KC_UP						Pico_GP12 + MCP_GPB1
KC_DOWN						Pico_GP12 + Pico_GP18
KC_SLASH					MCP_GPB4 + MCP_GPA5
KC_DOT 						MCP_GPB5 + Pico_GP12
KC_COMMA					MCP_GPB5 + MCP_GPB2
KC_SCOLON					MCP_GPA5 + Pico_GP11
KC_QUOTE					Pico_GP11 + Pico_GP18
KC_ENTER					MCP_GPA2 + MCP_GPA5
KC_LBRC						MCP_GPB1 + MCP_GPA3
KC_RBRC						MCP_GPB1 + Pico_GP20
KC_BSLASH					MCP_GPA5 + Pico_GP12
KC_CAPS						MCP_GPB3 + Pico_GP18
KC_TAB						Pico_GP18 + MCP_GPA1
KC_SPACE					MCP_GPB4 + Pico_GP18
